Product,Category,Customer,Region,Date,Quantity,Unit Price,Discount,Cost,Sales
Laptop,Electronics,Cust_307,India,27-04-2023,9,695,0.04,839,6004.8
Monitor,Electronics,Cust_437,Canada,17-01-2024,7,1147,0.24,368,6102.04
Mouse,Office,Cust_161,UK,29-09-2024,1,447,0.28,1257,321.84
Mouse,Accessories,Cust_22,UK,15-08-2024,2,1083,0.27,187,1581.18
Keyboard,Accessories,Cust_49,Germany,17-01-2023,4,1255,0.19,172,4066.2
Tablet,Electronics,Cust_318,Germany,13-02-2022,4,1705,0.17,1165,5660.6
Laptop,Electronics,Cust_64,India,13-11-2022,8,1803,0.01,1059,14279.76
Monitor,Accessories,Cust_480,India,14-09-2022,2,1243,0.27,1259,1814.78
Printer,Electronics,Cust_297,Australia,01-10-2024,2,1664,0.28,1263,2396.16
Keyboard,Accessories,Cust_456,Canada,17-12-2022,5,212,0.2,1476,848
Phone,Accessories,Cust_407,Canada,08-09-2023,6,342,0.29,525,1456.92
Tablet,Office,Cust_449,India,17-01-2022,7,1215,0.12,401,7484.4
Monitor,Electronics,Cust_396,Australia,24-01-2024,7,703,0.1,629,4428.9
Phone,Electronics,Cust_198,Germany,17-10-2022,6,1178,0.02,773,6926.64
Headphones,Office,Cust_328,Canada,06-03-2022,7,1253,0.07,147,8157.03
Monitor,Accessories,Cust_292,UK,20-12-2024,3,424,0.16,377,1068.48
Mouse,Office,Cust_466,USA,28-01-2023,2,1155,0.18,766,1894.2
Mouse,Office,Cust_59,USA,17-10-2024,4,781,0.16,733,2624.16
Monitor,Office,Cust_460,Canada,01-06-2024,2,285,0.27,898,416.1
Printer,Electronics,Cust_420,Canada,07-05-2022,3,689,0.08,321,1901.64
Phone,Office,Cust_441,Australia,02-02-2022,8,1755,0.19,,11372.4
Mouse,Office,Cust_179,Canada,09-12-2024,5,1973,0.1,1236,8878.5
Keyboard,Electronics,Cust_350,Canada,09-09-2024,2,1414,0.24,1416,2149.28
Monitor,Office,Cust_445,Australia,14-01-2024,8,986,0.03,910,7651.36
Mouse,Electronics,Cust_255,Australia,30-05-2023,5,557,0.1,984,2506.5
Monitor,Office,Cust_365,Germany,26-03-2022,1,1894,0.22,157,1477.32
Mouse,Office,Cust_53,India,08-01-2024,2,1013,0.03,1063,1965.22
Keyboard,Electronics,Cust_364,Canada,27-06-2023,3,1542,0.19,416,37470.6
Printer,Office,Cust_10,India,28-09-2024,5,1472,0.22,951,5740.8
Printer,Electronics,Cust_495,Australia,14-10-2022,6,367,0.01,302,2179.98
Mouse,Accessories,Cust_267,Canada,03-03-2022,9,1236,0.12,450,9789.12
Printer,Office,Cust_228,India,12-06-2022,2,1869,0.09,264,3401.58
Headphones,Accessories,Cust_444,USA,06-10-2024,3,145,0.2,798,348
Tablet,Electronics,Cust_324,India,11-12-2023,7,1100,0.17,677,6391
Headphones,Office,Cust_21,UK,10-12-2022,1,110,0.27,815,80.3
Headphones,Office,Cust_441,Canada,10-05-2022,1,786,0.21,161,620.94
Printer,Accessories,Cust_28,Germany,15-06-2024,3,104,0.29,1155,221.52
Phone,Electronics,Cust_457,Germany,11-04-2023,6,1433,0.13,334,7480.26
Monitor,Accessories,Cust_75,Germany,23-05-2023,8,556,0.24,1217,3380.48
Monitor,Office,Cust_281,Germany,07-08-2022,1,1206,0.17,1260,1000.98
Headphones,Electronics,Cust_359,Australia,21-07-2023,3,1134,0,354,3402
Mouse,Electronics,Cust_409,Germany,02-11-2024,2,215,,713,309.6
Laptop,Electronics,Cust_355,USA,13-05-2023,4,573,0.18,305,1879.44
Tablet,Office,Cust_427,Australia,27-01-2024,5,1569,0.07,1128,7295.85
Mouse,Accessories,Cust_403,Germany,29-07-2022,6,282,0.08,411,15566.4
Keyboard,Accessories,Cust_77,Canada,25-02-2022,6,1285,0.13,907,6707.7
Monitor,Accessories,Cust_150,UK,17-01-2024,2,212,0.16,353,356.16
Phone,Electronics,Cust_82,USA,24-07-2022,1,363,0.13,74,315.81
Keyboard,Electronics,Cust_366,UK,24-07-2023,3,365,0.27,330,799.35
Tablet,Electronics,Cust_403,Germany,24-05-2024,6,983,,182,4187.58
Phone,Electronics,Cust_357,Germany,06-05-2024,8,600,0.24,88,3648
Monitor,Electronics,Cust_393,India,24-05-2022,5,1399,0.09,588,6365.45
Tablet,Electronics,Cust_286,Australia,03-11-2024,3,211,0.17,945,525.39
Laptop,Electronics,Cust_168,Canada,29-03-2022,2,634,0.16,869,1065.12
Keyboard,Electronics,Cust_485,USA,23-11-2024,5,1046,0.1,831,4707
Laptop,Accessories,Cust_22,Canada,27-09-2024,2,606,0.02,617,1187.76
Monitor,Accessories,Cust_136,USA,17-09-2023,2,115,0.07,752,213.9
Keyboard,Office,Cust_453,India,16-07-2022,5,1165,0.13,84,5067.75
Monitor,Electronics,Cust_3,Canada,31-08-2024,8,1609,0.09,86,11713.52
Monitor,Office,Cust_261,Canada,25-01-2024,9,1762,0.04,432,15223.68
Phone,Accessories,Cust_449,UK,23-08-2024,3,1641,0.08,287,4529.16
Keyboard,Electronics,Cust_115,India,10-11-2024,5,905,0.05,139,4298.75
Headphones,Office,Cust_67,India,05-12-2022,1,589,0.03,1141,571.33
Keyboard,Accessories,Cust_61,India,05-08-2024,9,757,0.01,1362,6744.87
Keyboard,Electronics,Cust_439,Australia,16-01-2022,7,1581,0.28,1107,7968.24
Tablet,Office,Cust_105,India,29-05-2023,8,216,0.28,669,1244.16
Headphones,Office,Cust_59,Australia,07-09-2024,7,1139,0.1,1083,7175.7
Keyboard,Office,Cust_181,Australia,21-07-2023,2,793,0.24,607,1205.36
Mouse,Office,Cust_99,Germany,31-10-2022,7,1962,0.16,1230,11536.56
Tablet,Office,Cust_195,USA,03-02-2022,4,1426,0.08,465,5247.68
Monitor,Accessories,Cust_4,USA,27-06-2022,1,378,0.26,600,279.72
Monitor,Office,Cust_339,Germany,20-07-2023,1,1446,0.28,301,1041.12
Mouse,Office,Cust_120,India,29-04-2022,6,1810,0.07,213,10099.8
Monitor,Electronics,Cust_176,UK,12-05-2022,7,1579,0.29,347,7847.63
Printer,Accessories,Cust_275,UK,09-06-2024,4,749,0.11,1121,2666.44
Tablet,Electronics,Cust_204,USA,27-11-2023,3,1291,0.2,1079,3098.4
Phone,Office,Cust_38,USA,20-02-2024,5,1913,0.17,46,7938.95
Phone,Accessories,Cust_73,Germany,27-11-2023,5,1648,0.25,1046,6180
Printer,Electronics,Cust_229,USA,13-11-2024,1,1534,0.29,213,1089.14
Phone,Accessories,Cust_44,Australia,15-08-2022,4,1367,0.24,1312,4155.68
Phone,Electronics,Cust_103,India,22-02-2024,9,1643,0.02,834,14491.26
Monitor,Electronics,Cust_462,Germany,17-08-2022,7,270,0.06,1105,1776.6
Keyboard,Accessories,Cust_176,UK,03-03-2024,7,584,0.19,547,3311.28
Printer,Office,Cust_212,India,11-06-2022,8,495,,427,3405.6
Monitor,Office,Cust_209,India,16-01-2023,2,1194,0.27,965,1743.24
Headphones,Electronics,Cust_337,India,12-01-2022,4,558,0.2,1366,1785.6
Headphones,Office,Cust_255,Germany,01-01-2023,6,381,0.18,239,1874.52
Laptop,Office,Cust_165,Canada,16-06-2024,6,449,0.23,254,2074.38
Mouse,Office,Cust_297,UK,27-03-2022,4,769,0.13,1340,2676.12
Headphones,Electronics,Cust_61,UK,16-09-2022,8,1501,0.01,561,11887.92
Printer,Accessories,Cust_367,Australia,06-01-2023,5,1432,0.1,1366,6444
Monitor,Office,Cust_90,Canada,25-09-2023,1,388,0.15,1062,329.8
Printer,Electronics,Cust_200,UK,20-11-2023,1,1717,0.29,997,1219.07
Printer,Electronics,Cust_177,USA,16-07-2024,4,1773,0.12,986,6240.96
Mouse,Office,Cust_52,USA,19-06-2023,7,1214,0.09,45,77331.8
Laptop,Office,Cust_271,Canada,02-12-2023,6,1975,0.29,502,8413.5
Mouse,Office,Cust_477,Canada,30-06-2022,4,1540,0.11,656,5482.4
Mouse,Accessories,Cust_208,Canada,27-01-2023,9,1598,0.21,98,11361.78
,Office,Cust_445,Australia,19-03-2024,3,369,0.28,498,797.04
,Electronics,Cust_214,UK,28-07-2022,2,198,0.12,407,348.48
Mouse,Office,Cust_32,India,18-08-2024,1,1094,0.12,715,962.72
Laptop,Accessories,Cust_456,Canada,17-09-2023,5,443,0.13,740,1927.05
Tablet,Office,Cust_82,Australia,22-02-2022,7,1420,,652,8150.8
Headphones,Accessories,Cust_140,India,04-11-2024,4,1089,0.05,1286,4138.2
Laptop,Office,Cust_438,UK,20-07-2024,2,230,0.18,899,377.2
Monitor,Office,Cust_144,Canada,10-04-2023,3,618,0.09,1457,1687.14
Phone,Office,Cust_235,Australia,31-01-2024,5,1319,0.3,916,4616.5
Laptop,Electronics,Cust_298,USA,05-07-2022,7,1295,0.29,276,6436.15
Phone,Accessories,Cust_273,UK,13-05-2024,1,601,0.1,888,540.9
Phone,Accessories,Cust_482,India,26-01-2023,6,966,0.06,915,5448.24
Phone,Office,Cust_231,Australia,15-04-2022,6,928,0.16,1105,4677.12
Mouse,Electronics,Cust_71,USA,29-01-2022,4,356,0.27,319,1039.52
Keyboard,Electronics,Cust_175,India,15-06-2022,3,511,0.16,642,1287.72
Phone,Office,Cust_92,Canada,15-02-2023,8,948,0.1,429,6825.6
Keyboard,Electronics,Cust_134,Canada,16-11-2023,3,1005,0.01,1454,2984.85
Headphones,Electronics,Cust_124,Canada,05-11-2024,2,142,0.14,697,244.24
,Office,Cust_29,USA,24-12-2024,4,189,0.24,1075,574.56
Monitor,Office,Cust_324,Australia,02-08-2023,4,163,0,228,652
Monitor,Office,Cust_302,Australia,31-08-2023,3,1020,0.21,56,2417.4
Tablet,Electronics,Cust_356,India,12-08-2022,2,740,0.27,1187,1080.4
,Office,Cust_476,Germany,20-07-2022,6,766,0.28,1089,3309.12
Printer,Electronics,Cust_106,Australia,08-08-2023,1,1797,0.09,1220,1635.27
Monitor,Office,Cust_386,Germany,04-09-2022,2,1701,0.08,313,31298.4
Headphones,Office,Cust_220,Canada,30-07-2024,6,889,0.21,384,4213.86
Laptop,Electronics,Cust_460,UK,09-07-2023,4,1241,0.11,808,4417.96
Keyboard,Electronics,Cust_286,Germany,21-06-2024,6,1661,0.16,122,8371.44
Phone,Electronics,Cust_257,India,03-02-2024,6,687,0.08,1425,3792.24
Printer,Electronics,Cust_140,Australia,31-05-2023,6,823,0.3,1230,3456.6
Laptop,Office,Cust_401,Germany,07-09-2023,2,1629,0.09,926,2964.78
Laptop,Electronics,Cust_447,Germany,25-07-2022,2,1726,0.12,220,3037.76
Phone,Electronics,Cust_390,UK,31-03-2022,9,1932,0.16,1036,14605.92
,Office,Cust_391,India,02-09-2022,7,580,0.05,1288,3857
Monitor,Accessories,Cust_48,Canada,29-07-2024,3,1660,0.26,1273,3685.2
Monitor,Office,Cust_495,UK,06-12-2023,8,119,0.11,1148,847.28
Tablet,Accessories,Cust_11,UK,18-08-2023,4,1628,,193,4753.76
Printer,Accessories,Cust_378,Canada,10-03-2023,7,734,0.22,790,4007.64
Mouse,Accessories,Cust_70,USA,03-08-2023,7,322,0.13,1499,1960.98
Laptop,Accessories,Cust_62,Germany,11-06-2023,7,1436,0.2,498,8041.6
Monitor,Office,Cust_270,Australia,08-12-2024,3,1333,0.18,283,3279.18
Mouse,Accessories,Cust_257,Australia,11-01-2024,8,125,0.05,1450,950
Headphones,Office,Cust_498,USA,30-08-2022,6,1258,0.2,251,6038.4
Laptop,Office,Cust_161,USA,02-01-2024,6,1230,0.25,175,5535
Mouse,Accessories,Cust_260,Australia,30-07-2024,2,176,0.02,37,344.96
Tablet,Office,Cust_397,UK,17-01-2024,1,496,0.18,216,406.72
Phone,Office,Cust_399,Australia,08-02-2022,1,414,0.08,480,380.88
Mouse,Office,Cust_348,Germany,22-07-2024,3,962,0.18,805,2366.52
Printer,Accessories,Cust_395,UK,14-07-2024,4,440,0.28,1365,1267.2
Monitor,Electronics,Cust_293,India,31-01-2024,2,1610,0.26,226,2382.8
Mouse,Electronics,Cust_208,USA,07-08-2022,6,683,0.26,410,3032.52
Phone,Office,Cust_226,Canada,06-03-2024,8,1487,0.26,1302,8803.04
Tablet,Office,Cust_468,USA,07-08-2024,5,1627,0.04,1079,7809.6
Keyboard,Electronics,Cust_444,USA,26-06-2022,7,354,0.17,464,2056.74
Laptop,Accessories,Cust_16,Canada,13-10-2023,4,1920,0.26,850,5683.2
Keyboard,Office,Cust_9,Australia,09-01-2023,8,1679,0.05,1038,12760.4
Mouse,Electronics,Cust_152,UK,09-10-2023,3,1504,0.23,770,3474.24
Mouse,Electronics,Cust_398,USA,13-08-2022,4,558,0.13,1184,1941.84
Phone,Accessories,Cust_176,Australia,17-07-2023,4,1146,0.18,1321,3758.88
Phone,Electronics,Cust_115,Germany,20-10-2023,1,505,0.05,624,479.75
,Electronics,Cust_331,Germany,26-08-2024,9,935,0.07,572,7825.95
Printer,Accessories,Cust_499,Canada,29-12-2024,3,1322,0.08,752,3648.72
Tablet,Electronics,Cust_234,Germany,21-07-2022,7,280,0.01,348,1940.4
Phone,Accessories,Cust_248,USA,12-05-2024,6,1678,0.18,882,8255.76
Phone,Accessories,Cust_36,UK,19-02-2023,5,963,0.12,1288,42372
Printer,Electronics,Cust_237,UK,22-09-2023,4,1094,0.29,356,3106.96
Monitor,Office,Cust_86,UK,06-02-2024,8,155,0.01,1186,1227.6
Headphones,Office,Cust_333,Australia,13-03-2024,6,253,0.03,1489,1472.46
Laptop,Accessories,Cust_481,UK,09-02-2023,7,1453,0.14,522,8747.06
Printer,Office,Cust_44,India,05-09-2023,8,1236,0.29,1174,7020.48
Printer,Office,Cust_495,UK,16-06-2024,2,1941,0.18,1495,3183.24
Monitor,Electronics,Cust_496,Canada,16-05-2022,4,1563,0.27,1061,4563.96
Printer,Electronics,Cust_86,USA,28-03-2023,8,895,0.03,1380,6945.2
Mouse,Electronics,Cust_100,India,16-03-2024,2,273,0.09,1130,496.86
Headphones,Electronics,Cust_368,Germany,10-11-2024,5,400,0.13,132,1740
Printer,Accessories,Cust_411,Australia,24-02-2023,2,957,0.11,163,1703.46
Tablet,Office,Cust_177,Australia,15-04-2024,2,711,0.25,444,1066.5
Headphones,Electronics,Cust_196,India,20-11-2024,5,578,0.01,280,2861.1
Monitor,Electronics,Cust_41,USA,31-01-2022,7,1111,0.16,521,6532.68
Keyboard,Accessories,Cust_345,USA,31-12-2023,1,106,0.19,912,85.86
Mouse,Office,Cust_43,USA,20-04-2022,9,1424,0.3,364,8971.2
Laptop,Accessories,Cust_406,Canada,19-11-2022,9,1636,0.29,585,10454.04
Keyboard,Electronics,Cust_339,Germany,30-10-2024,9,1612,0.26,108,10735.92
Mouse,Accessories,Cust_56,Germany,24-05-2023,2,1314,0.23,1125,2023.56
Mouse,Accessories,Cust_434,India,23-07-2022,6,1137,0,584,6822
Printer,Accessories,Cust_8,Australia,12-07-2024,6,1391,0.22,881,6509.88
Headphones,Accessories,Cust_308,Australia,28-08-2023,8,1179,0.29,1291,6696.72
Printer,Office,Cust_496,Germany,16-08-2024,2,164,0.11,254,291.92
Laptop,Accessories,Cust_69,Australia,12-08-2024,2,227,0.2,711,363.2
Keyboard,Electronics,Cust_226,UK,27-02-2023,7,1132,0.27,148,5784.52
Monitor,Office,Cust_94,Germany,29-03-2024,1,1869,0.21,983,1476.51
Mouse,Electronics,Cust_81,UK,20-09-2023,6,1534,0.15,1107,7823.4
Tablet,Office,Cust_479,Canada,02-05-2024,9,1362,0.04,161,11767.68
Headphones,Office,Cust_205,Germany,24-11-2023,5,1063,,417,4836.65
Printer,Accessories,Cust_402,USA,19-09-2022,8,517,0.18,809,3391.52
Laptop,Electronics,Cust_9,USA,13-07-2024,9,1406,0.01,849,12527.46
Headphones,Accessories,Cust_196,UK,16-01-2023,7,641,0.28,747,3230.64
Monitor,Electronics,Cust_459,Australia,28-03-2022,9,1814,0.3,1231,11428.2
Keyboard,Accessories,Cust_374,USA,27-01-2023,5,1560,0.23,1134,6006
Laptop,Office,Cust_287,Germany,11-07-2022,7,973,0.3,729,4767.7
Keyboard,Accessories,Cust_348,India,15-09-2022,6,806,0.18,884,3965.52
Monitor,Electronics,Cust_409,Canada,08-07-2023,1,125,0.3,680,87.5
Monitor,Accessories,Cust_303,Canada,25-05-2024,3,1741,0.11,568,4648.47
Tablet,Electronics,Cust_202,UK,21-09-2024,7,986,0.02,536,6763.96
Printer,Accessories,Cust_378,UK,18-02-2024,1,1083,0.01,1196,1072.17
Printer,Electronics,Cust_469,UK,01-05-2023,3,1702,0.24,915,3880.56
,Electronics,Cust_77,Canada,25-12-2022,9,1161,,422,10135.53
Keyboard,Electronics,Cust_93,USA,14-03-2022,8,74,,509,467.68
Phone,Office,Cust_225,Canada,26-10-2023,5,367,0.01,487,1816.65
Tablet,Office,Cust_468,USA,01-01-2022,5,703,0.09,419,3198.65
Mouse,Accessories,Cust_86,UK,10-03-2023,5,563,0.02,857,2758.7
Tablet,Office,Cust_87,USA,29-08-2023,5,681,0.07,894,3166.65
Tablet,Office,Cust_313,UK,13-01-2023,4,689,0.17,646,2287.48
Laptop,Office,Cust_90,Canada,26-06-2022,1,1030,0,1426,1030
Tablet,Office,Cust_380,Germany,20-04-2023,9,936,0.2,720,6739.2
Headphones,Office,Cust_74,USA,01-06-2024,9,98,0.06,289,829.08
Tablet,Office,Cust_122,USA,23-09-2022,2,142,0.25,1086,213
Mouse,Office,Cust_336,India,12-03-2023,5,1649,0.08,868,7585.4
Keyboard,Office,Cust_490,UK,16-09-2024,1,1971,0.11,292,1754.19
Tablet,Office,Cust_468,Canada,29-04-2023,4,880,0.3,419,2464
Phone,Electronics,Cust_473,UK,22-12-2024,9,376,0.14,1467,2910.24
,Office,Cust_161,Germany,26-02-2022,7,365,0.03,1386,2478.35
Mouse,Office,Cust_412,India,21-03-2024,1,1751,0.26,254,1295.74
Tablet,Electronics,Cust_187,UK,18-03-2024,4,870,0.22,652,2714.4
Mouse,Office,Cust_239,India,07-03-2023,5,1905,0.17,150,7905.75
Headphones,Accessories,Cust_98,USA,23-08-2024,8,1661,0.3,353,9301.6
Printer,Office,Cust_104,Germany,23-06-2024,7,1222,0.06,1212,8040.76
Tablet,Electronics,Cust_71,Germany,03-12-2023,7,196,0.2,1260,1097.6
Phone,Accessories,Cust_201,Australia,26-04-2023,9,1181,0.21,1392,8396.91
Headphones,Office,Cust_306,Australia,11-01-2022,6,485,0.16,320,2444.4
Phone,Office,Cust_296,Canada,27-07-2022,5,1350,0.06,803,6345
Phone,Electronics,Cust_132,India,13-02-2024,4,267,0.06,532,1003.92
Mouse,Office,Cust_275,Canada,01-10-2024,9,664,0.02,545,5856.48
Monitor,Accessories,Cust_31,USA,30-03-2023,2,1369,0.02,1083,26832.4
Headphones,Office,Cust_274,Canada,31-10-2022,3,886,0.06,454,2498.52
Mouse,Office,Cust_122,Australia,16-09-2023,3,184,0.15,914,469.2
Laptop,Electronics,Cust_302,UK,05-10-2022,7,937,0.17,627,5443.97
Mouse,Office,Cust_482,Germany,24-03-2024,1,1773,0.02,1278,1737.54
Tablet,Electronics,Cust_125,Germany,27-08-2022,3,925,0.07,705,2580.75
Mouse,Accessories,Cust_187,Germany,16-11-2022,4,1495,0.12,307,5262.4
Printer,Office,Cust_166,Germany,16-04-2023,7,1602,0.11,600,9980.46
Printer,Electronics,Cust_446,India,11-05-2022,7,867,0.15,958,5158.65
Headphones,Office,Cust_94,Australia,08-01-2022,1,100,0.23,958,77
Printer,Office,Cust_229,Australia,30-10-2024,4,347,0.28,843,999.36
Printer,Electronics,Cust_313,UK,10-09-2023,8,971,0.07,991,7224.24
Monitor,Accessories,Cust_69,USA,30-10-2024,3,524,0.2,407,1257.6
Phone,Electronics,Cust_381,USA,24-04-2022,1,257,0.13,1027,223.59
Headphones,Electronics,Cust_342,India,27-08-2022,8,1102,0.23,839,6788.32
Printer,Office,Cust_221,India,18-02-2024,2,824,0.13,182,1433.76
Mouse,Electronics,Cust_119,Canada,26-03-2022,8,402,0.13,1470,2797.92
Phone,Accessories,Cust_17,India,31-03-2023,1,269,0.22,218,209.82
